name,host_id,borough,neighbourhood,latitude,longitude,room_type,price,minimum_nights
Cheerful 3 Bedrooms next to all in Rego Park,413485013,Queens,Rego Park,40.73082000000000135742084239609539508819580078125,-73.8585800000000034515323932282626628875732421875,Entire home/apt,388,1
Beautiful studio in upper Manhattan,29651137,Manhattan,East Harlem,40.79301000000000243517206399701535701751708984375,-73.9411300000000011323209037072956562042236328125,Entire home/apt,119,1
Elegant Triplex and Outdoor Oasis,465579714,Brooklyn,Prospect Heights,40.67645999999999872898115427233278751373291015625,-73.969930000000005065885488875210285186767578125,Entire home/apt,4100,1
Lovely 2-bedroom Near Hell's Kitchen/Midtown West,472025501,Manhattan,Hell's Kitchen,40.76084999999999780584403197281062602996826171875,-73.98980000000000245563569478690624237060546875,Entire home/apt,400,1
"1 Bedroom Oasis & Backyard, Mins from NYC Airports",439023889,Queens,Flushing,40.72827000000000197132976609282195568084716796875,-73.802400000000005775291356258094310760498046875,Entire home/apt,117,1
Upper East Side Cozy One Bedroom Apartment,34400734,Manhattan,Upper East Side,40.7746599999999972396835801191627979278564453125,-73.9532999999999987039700499735772609710693359375,Entire home/apt,175,1
Brooklyn Event space for small gathering,160940380,Brooklyn,Brownsville,40.65778000000000247382558882236480712890625,-73.91244000000000369254848919808864593505859375,Entire home/apt,600,1
Low cost mini studio near metro and JFK airport,70959022,Brooklyn,East New York,40.66790999999999911551640252582728862762451171875,-73.88429999999999608917278237640857696533203125,Entire home/apt,82,1
Brooklyn Condo,474013173,Brooklyn,Bedford-Stuyvesant,40.67762789999999739620761829428374767303466796875,-73.9093900999999959822162054479122161865234375,Entire home/apt,210,1
Unique 2 bedroom Apt near escape 3 mins from JFK,144688687,Queens,Springfield Gardens,40.66725999999999885403667576611042022705078125,-73.761089999999995825419318862259387969970703125,Entire home/apt,180,1
Chelsea-Midtown Manhattan 2 Bedroom Luxury Living,307197943,Manhattan,Midtown,40.7478100000000011959855328314006328582763671875,-73.988910000000004174580681137740612030029296875,Entire home/apt,766,1
Lovely 1 Bedroom Loft Apt in Greenwich Village!,4446593,Manhattan,East Village,40.73201999999999856072463444434106349945068359375,-73.9908400000000057161742006428539752960205078125,Entire home/apt,282,1
Fantastic 3Bedroom 2Bath with Balcony,284563606,Manhattan,Murray Hill,40.7453900000000004411049303598701953887939453125,-73.9739699999999942292561172507703304290771484375,Entire home/apt,513,1
Unique Antique 3Bedrooms Home-Near LGA-2nd floor,182980197,Queens,East Elmhurst,40.7565000000000026147972675971686840057373046875,-73.896150000000005775291356258094310760498046875,Entire home/apt,365,1
Beautifully decorated in the Essex House!,36793116,Manhattan,Midtown,40.765050000000002228262019343674182891845703125,-73.9791599999999931469574221409857273101806640625,Entire home/apt,330,1
Beautiful 1 bedroom unit,486830876,Brooklyn,Flatlands,40.61680760065842576977956923656165599822998046875,-73.9221655352514375181272043846547603607177734375,Entire home/apt,125,1
Spacious 1 Bedroom near Kings Theater,36636596,Brooklyn,Flatbush,40.648470000000003210516297258436679840087890625,-73.961510000000004083631210960447788238525390625,Entire home/apt,161,1
Cozy NYC modern apartment,173274299,Brooklyn,Prospect-Lefferts Gardens,40.66100999999999743295120424591004848480224609375,-73.942239999999998190105543471872806549072265625,Entire home/apt,350,1
Vintage Leisures— Heart of Brooklyn Home,66961568,Brooklyn,East Flatbush,40.6359800000000035424818634055554866790771484375,-73.94986000000000103682396002113819122314453125,Entire home/apt,166,1
"Beautiful 1-bedroom Apt In Brooklyn, NYC",90255286,Brooklyn,Crown Heights,40.67696000000000111640474642626941204071044921875,-73.942419999999998481143848039209842681884765625,Entire home/apt,184,1
Comfortable Artsy studio - Garden level,479833121,Brooklyn,Prospect-Lefferts Gardens,40.657107400000001007356331683695316314697265625,-73.9594135999999906516677583567798137664794921875,Entire home/apt,170,1
Lovely King Bed Apartment In Downtown Flushing,212164658,Queens,Flushing,40.7578299999999984493115334771573543548583984375,-73.8250900000000029876900953240692615509033203125,Entire home/apt,120,1
Private 2-room apartment. King-size bed + Sofa bed,478586325,Staten Island,Port Richmond,40.6296200000000027330315788276493549346923828125,-74.1417699999999939564077067188918590545654296875,Entire home/apt,129,1
New Apartment in Queens near UBS arena JFK and LGA,476462867,Queens,Hollis,40.7127100000000012869350030086934566497802734375,-73.7543699999999944338924251496791839599609375,Entire home/apt,128,1
Lovely & bright 2-bedroom rental unit in Queens,361317957,Queens,Bay Terrace,40.7840599999999966485120239667594432830810546875,-73.7773600000000016052581486292183399200439453125,Entire home/apt,189,1
Sale Zero Chores-$0 Pet & $0 Cleaning Fee-JFK30min,333057838,Brooklyn,Flatlands,40.63242629999999877554728300310671329498291015625,-73.9228250999999971782017382793128490447998046875,Entire home/apt,342,1
Gathering spot,42814202,Queens,Fresh Meadows,40.74116000000000070713213062845170497894287109375,-73.7872399999999970532371662557125091552734375,Entire home/apt,175,1
Chelsea Lovely Romantic Studio For Couples #6,343450886,Manhattan,Midtown,40.74828999999999723513610661029815673828125,-73.9882400000000046702552936039865016937255859375,Entire home/apt,96,1
Lennox Hill/Near E River! Beautiful 2BR-Apt!,472195874,Manhattan,Upper East Side,40.760390000000001009539118967950344085693359375,-73.9627600000000029467628337442874908447265625,Entire home/apt,275,1
Duplex Large Condo in Manhattan  By Central Park,134799240,Manhattan,Midtown,40.7651690000000002100932761095464229583740234375,-73.9776998999999904071955825202167034149169921875,Entire home/apt,1064,1
2 bedroom 3 beds 1 super huge comfortable beanbag,276704855,Brooklyn,Williamsburg,40.71847000000000349473339156247675418853759765625,-73.9491100000000045611159293912351131439208984375,Entire home/apt,250,1
Snazzy full Apt. in Trendy Carrol Gardens BK-NYC,406163945,Brooklyn,Carroll Gardens,40.684179999999997789927874691784381866455078125,-74.0004899999999992132870829664170742034912109375,Entire home/apt,198,1
Lovely 2 bedroom apartment with patio,478954712,Brooklyn,East New York,40.65912999999999755118551547639071941375732421875,-73.8935000000000030695446184836328029632568359375,Entire home/apt,100,1
Cozy 1-bedroom rental unit in Queens,473870007,Queens,Bayswater,40.60376000000000118461684905923902988433837890625,-73.7593499999999977490006131120026111602783203125,Entire home/apt,99,1
Apartment in Williamsburg,149435862,Brooklyn,Williamsburg,40.716042201962039825957617722451686859130859375,-73.961215876042842864990234375,Entire home/apt,286,1
Luxury 3BR Apartment 10 mins from JFK/LIRR to City,354035081,Queens,St. Albans,40.6927400000000005775291356258094310760498046875,-73.7645299999999934925654088146984577178955078125,Entire home/apt,199,1
"Rustic Loft in the heart of Chelsea, Manhattan",437884992,Manhattan,Chelsea,40.75128000000000128011379274539649486541748046875,-74.0025600000000025602275854907929897308349609375,Entire home/apt,1224,1
"Prime UWS Location - Fast Wi-Fi, Large Living Room",374576747,Manhattan,Upper West Side,40.78009999999999735109668108634650707244873046875,-73.98011999999999943611328490078449249267578125,Entire home/apt,539,1
Live like a New Yorker in a Townhouse,418612428,Manhattan,Upper West Side,40.78549000000000290810930891893804073333740234375,-73.97404000000000223735696636140346527099609375,Entire home/apt,650,1
Modern 2 Bedroom - Close to JFK and UBS Arena,375394646,Queens,Rosedale,40.668689999999998008206603117287158966064453125,-73.7379399999999947112883091904222965240478515625,Entire home/apt,200,1
Tiny house with a Caribbean Garden vibe in NYC,200950980,Queens,Arverne,40.594999999999998863131622783839702606201171875,-73.793080000000003337845555506646633148193359375,Entire home/apt,201,1
A place for rest and comfort,478717835,Staten Island,Mariners Harbor,40.63465000000000060254023992456495761871337890625,-74.1677700000000044155967771075665950775146484375,Entire home/apt,200,1
Cozy 1st Floor Gramercy Apt,151017370,Manhattan,Gramercy,40.73378847158746651757610379718244075775146484375,-73.9820356731093369262453052215278148651123046875,Entire home/apt,129,1
